id,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,66,Private,216522,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,55,?,>50K
1,53,?,256257,12th,8,Married-civ-spouse,?,Wife,White,Female,0,0,40,Italy,<=50K
2,44,Private,306075,10th,6,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
3,73,Private,248575,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2174,50,United-States,>50K
4,35,Self-emp-not-inc,420855,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,<=50K
5,20,Private,161663,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,28,United-States,<=50K
6,49,Self-emp-inc,220563,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,?,>50K
7,18,State-gov,292141,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,<=50K
8,58,Self-emp-not-inc,242189,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,<=50K
9,26,Private,140038,12th,8,Married-civ-spouse,Priv-house-serv,Wife,Other,Female,0,0,40,Dominican-Republic,<=50K
10,33,Private,329720,1st-4th,2,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,2603,32,Mexico,<=50K
11,43,Federal-gov,296921,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,7298,0,40,United-States,>50K
12,40,Self-emp-inc,150273,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
13,41,Private,304257,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
14,26,Private,348049,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
15,19,Private,205854,7th-8th,4,Never-married,Transport-moving,Unmarried,White,Male,0,0,25,Guatemala,<=50K
16,61,Private,198054,Some-college,10,Divorced,Other-service,Not-in-family,White,Female,0,0,30,United-States,<=50K
17,28,Private,233894,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
18,53,Private,324684,HS-grad,9,Widowed,Machine-op-inspct,Not-in-family,White,Male,6849,0,40,United-States,<=50K
19,42,Private,222288,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
20,47,Private,263518,Some-college,10,Divorced,Sales,Unmarried,White,Female,0,0,45,United-States,>50K
21,21,?,253352,Some-college,10,Never-married,?,Own-child,White,Male,0,0,20,United-States,<=50K
22,30,Private,316465,Some-college,10,Never-married,Adm-clerical,Not-in-family,Other,Male,0,0,40,?,<=50K
23,23,Private,376268,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Black,Male,0,0,35,United-States,<=50K
24,19,?,409088,HS-grad,9,Never-married,?,Not-in-family,Black,Female,0,0,40,United-States,<=50K
25,52,Private,190078,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
26,42,Private,426377,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,7688,0,42,United-States,>50K
27,42,Private,284343,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K
28,65,?,394409,Preschool,1,Married-civ-spouse,?,Husband,Black,Male,0,0,30,United-States,<=50K
29,47,Federal-gov,298356,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
30,47,Private,185814,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
31,37,State-gov,161251,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,38,United-States,<=50K
32,53,Private,418337,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,>50K
33,37,Local-gov,340185,Some-college,10,Separated,Protective-serv,Own-child,Other,Male,0,0,52,United-States,<=50K
34,23,Private,444043,10th,6,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
35,20,Private,305665,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,20,United-States,<=50K
36,34,Private,183647,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,20,United-States,<=50K
37,20,Private,344202,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,28,United-States,<=50K
38,49,Private,194663,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,43,United-States,<=50K
39,30,Private,343484,HS-grad,9,Separated,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K
40,42,Self-emp-not-inc,125787,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,40,United-States,>50K
41,56,Self-emp-inc,136747,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
42,23,State-gov,379179,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
43,50,?,382528,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,<=50K
44,56,Private,277142,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3103,0,40,United-States,>50K
45,59,Private,330963,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
46,25,Private,379428,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
47,34,Private,128433,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
48,30,Private,244001,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,65,United-States,<=50K
49,43,Private,289720,Assoc-voc,11,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
50,18,Private,332217,12th,8,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,30,United-States,<=50K
51,64,?,205780,Some-college,10,Widowed,?,Unmarried,White,Female,0,0,8,United-States,<=50K
52,23,Private,276207,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
53,23,Private,181704,Some-college,10,Married-civ-spouse,Sales,Own-child,White,Female,0,0,16,United-States,<=50K
54,38,Self-emp-not-inc,247066,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,3103,0,60,United-States,>50K
55,27,Local-gov,264886,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,<=50K
56,43,Self-emp-inc,236366,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
57,46,Local-gov,373804,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,24,United-States,<=50K
58,22,Private,225995,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
59,39,Local-gov,207321,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Male,0,0,42,United-States,<=50K
60,31,Private,167302,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,3908,0,40,United-States,<=50K
61,30,Private,245088,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,62,United-States,<=50K
62,44,Private,329081,HS-grad,9,Separated,Adm-clerical,Not-in-family,White,Female,0,0,40,Puerto-Rico,<=50K
63,32,Private,145416,Assoc-acdm,12,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
64,27,Private,237472,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K
65,30,Private,134702,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
66,34,Private,149038,Bachelors,13,Separated,Exec-managerial,Not-in-family,White,Female,0,0,35,United-States,<=50K
67,42,Self-emp-not-inc,194877,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
68,38,Self-emp-not-inc,346114,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Mexico,<=50K
69,43,Private,371546,HS-grad,9,Separated,Other-service,Not-in-family,White,Female,0,0,26,United-States,<=50K
70,33,Private,294309,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,38,United-States,>50K
71,25,Private,282838,HS-grad,9,Never-married,Craft-repair,Other-relative,White,Female,0,0,40,United-States,<=50K
72,66,Private,241600,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
73,22,?,311826,Some-college,10,Never-married,?,Not-in-family,Black,Female,0,0,35,United-States,<=50K
74,33,State-gov,213018,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,45,United-States,<=50K
75,43,?,275686,Some-college,10,Divorced,?,Not-in-family,White,Female,0,0,40,United-States,<=50K
76,44,Private,306846,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
77,19,Private,338872,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,3,United-States,<=50K
